id,kategori,soru,cevap
38,Genel,Erasmus+ bütçesi nereden sağlanır?,Avrupa Komisyonu tarafından finanse edilir.
39,Genel,Erasmus başvurusu için yaş sınırı var mı?,"Hayır, belirli bir yaş sınırı yoktur."
40,Genel,Erasmus öğrencileri vize almak zorunda mı?,"Evet, AB üyesi olmayan ülkelerin vatandaşları vize almak zorundadır."
41,Genel,Erasmus öğrencileri için banka hesabı gerekiyor mu?,"Evet, hibe ödemeleri için öğrencinin kendi adına banka hesabı bulunmalıdır."
42,Genel,Erasmus öğrencileri için sağlık sigortası zorunlu mu?,"Evet, sağlık sigortası yaptırmak zorunludur."
43,Genel,Erasmus+ 2025 döneminde neler değişti?,"Dijitalleşme, kapsayıcılık ve yeşil Erasmus temaları ön plana çıkmıştır."
44,Genel,Erasmus öğrencileri dönüşte hangi belgeleri teslim eder?,"Katılım sertifikası, pasaport giriş-çıkış sayfaları ve final raporu teslim edilir."
45,Genel,Erasmus hibesi geri ödenir mi?,Hareketliliğe katılmayan veya rapor sunmayan katılımcılardan hibe geri istenebilir.
46,Genel,Erasmus hibesi gelir vergisine tabi mi?,"Hayır, Erasmus hibeleri gelir vergisinden muaftır."
47,Genel,Erasmus öğrencileri dönüşte deneyim paylaşabilir mi?,"Evet, birçok kurum geri dönen öğrencilerden sunum veya rapor ister."
48,Genel,Erasmus için pasaport gerekli mi?,"Evet, yurtdışına çıkmak için pasaport gereklidir."
49,Genel,Erasmus+ gençlik değişimi nedir?,Farklı ülkelerden gençlerin bir araya gelerek kültürel paylaşım yaptığı kısa süreli etkinliklerdir.
50,Genel,Erasmus+ staj programı hangi alanları kapsar?,"Mühendislikten tasarıma, bilişimden eğitime kadar birçok alanda staj yapılabilir."
